Sl_No,Datetime,Hourly_Temp
0,1/4/22 12:00 AM,20.867
1,1:00:00 AM,21
2,2:00:00 AM,20.867
3,3:00:00 AM,20.65
4,4:00:00 AM,20.4
5,5:00:00 AM,20.1
6,6:00:00 AM,19.8
7,7:00:00 AM,19.5
8,8:00:00 AM,19.4
9,9:00:00 AM,19.5
10,10:00:00 AM,19.933
11,11:00:00 AM,20.75
12,12:00:00 PM,21.833
13,1:00:00 PM,22.75
14,2:00:00 PM,23.7
15,3:00:00 PM,24.6
16,4:00:00 PM,25.1
17,5:00:00 PM,12.1
18,6:00:00 PM,19.667
19,7:00:00 PM,23.133
20,8:00:00 PM,23.1
21,9:00:00 PM,22.7
22,10:00:00 PM,22.3
23,11:00:00 PM,21.8
24,12:00:00 AM,21.333
25,1:00:00 AM,20.933
26,2:00:00 AM,20.567
27,3:00:00 AM,20.25
28,4:00:00 AM,20.1
29,5:00:00 AM,15.667
30,6:00:00 AM,19.167
31,7:00:00 AM,14.1
32,8:00:00 AM,14.05
33,9:00:00 AM,13.467
34,10:00:00 AM,11.4
35,11:00:00 AM,9.9
36,12:00:00 PM,9.833
37,1:00:00 PM,10
38,2:00:00 PM,13.033
39,3:00:00 PM,9.333
40,4:00:00 PM,12.7
41,5:00:00 PM,12.733
42,6:00:00 PM,15.733
43,7:00:00 PM,16.033
44,8:00:00 PM,16.033
45,9:00:00 PM,16.1
46,10:00:00 PM,12.95
47,11:00:00 PM,23.6
48,12:00:00 AM,26.5
49,1:00:00 AM,25.5
50,2:00:00 AM,24.5
51,3:00:00 AM,23.633
52,4:00:00 AM,23.1
53,5:00:00 AM,22.6
54,6:00:00 AM,14.9
55,7:00:00 AM,14.133
56,8:00:00 AM,22.7
57,9:00:00 AM,23.533
58,10:00:00 AM,23.75
59,11:00:00 AM,24.2
60,12:00:00 PM,24.867
61,1:00:00 PM,25.5
62,2:00:00 PM,26
63,3:00:00 PM,26.267
64,4:00:00 PM,9.633
65,5:00:00 PM,9.267
66,6:00:00 PM,8.85
67,7:00:00 PM,15.6
68,8:00:00 PM,12.267
69,9:00:00 PM,9.067
70,10:00:00 PM,12.467
71,11:00:00 PM,21.35
72,12:00:00 AM,23.967
73,1:00:00 AM,24.4
74,2:00:00 AM,23.9
75,3:00:00 AM,23.3
76,4:00:00 AM,22.8
77,5:00:00 AM,20.8
78,6:00:00 AM,14.967
79,7:00:00 AM,11.7
80,8:00:00 AM,15.6
81,9:00:00 AM,8.4
82,10:00:00 AM,9.067
83,11:00:00 AM,9.967
84,12:00:00 PM,9.8
85,1:00:00 PM,9.833
86,2:00:00 PM,12.433
87,3:00:00 PM,9.767
88,4:00:00 PM,9.567
89,5:00:00 PM,9.1
90,6:00:00 PM,11.7
91,7:00:00 PM,25.333
92,8:00:00 PM,8.167
93,9:00:00 PM,16.167
94,10:00:00 PM,16.133
95,11:00:00 PM,26.2
96,12:00:00 AM,26.75
97,1:00:00 AM,25.867
98,2:00:00 AM,24.767
99,3:00:00 AM,23.95
100,4:00:00 AM,23.333
101,5:00:00 AM,22.7
102,6:00:00 AM,11.8
103,7:00:00 AM,15.4
104,8:00:00 AM,7.45
105,9:00:00 AM,12.167
106,10:00:00 AM,9.2
107,11:00:00 AM,9.8
108,12:00:00 PM,10.067
109,1:00:00 PM,10.1
110,2:00:00 PM,10.35
111,3:00:00 PM,14.567
112,4:00:00 PM,9.1
113,5:00:00 PM,8.133
114,6:00:00 PM,20.55
115,7:00:00 PM,19.167
116,8:00:00 PM,18.1
117,9:00:00 PM,11
118,10:00:00 PM,13.233
119,11:00:00 PM,21.167
120,12:00:00 AM,23.5
121,1:00:00 AM,23.7
122,2:00:00 AM,23.267
123,3:00:00 AM,22.8
124,4:00:00 AM,22.333
125,5:00:00 AM,22
126,6:00:00 AM,16.533
127,7:00:00 AM,14.333
128,8:00:00 AM,12.2
129,9:00:00 AM,8.767
130,10:00:00 AM,9.4
131,11:00:00 AM,9.633
132,12:00:00 PM,9.9
133,1:00:00 PM,9.5
134,2:00:00 PM,12.8
135,3:00:00 PM,9.833
136,4:00:00 PM,9.1
137,5:00:00 PM,13.067
138,6:00:00 PM,16.5
139,7:00:00 PM,25.033
140,8:00:00 PM,23.5
141,9:00:00 PM,8.325
142,10:00:00 PM,14.2
143,11:00:00 PM,25.7
144,12:00:00 AM,26.767
145,1:00:00 AM,25.367
146,2:00:00 AM,24.1
147,3:00:00 AM,23.2
148,4:00:00 AM,22.533
149,5:00:00 AM,21.933
150,6:00:00 AM,21.85
151,7:00:00 AM,22.9
152,8:00:00 AM,18.2
153,9:00:00 AM,12.75
154,10:00:00 AM,12.575
155,11:00:00 AM,17.8
156,12:00:00 PM,9.867
157,1:00:00 PM,10.333
158,2:00:00 PM,19.5
159,3:00:00 PM,13
160,4:00:00 PM,14.267
161,5:00:00 PM,17.633
162,6:00:00 PM,21.367
163,7:00:00 PM,22.85
164,8:00:00 PM,18.467
165,9:00:00 PM,14.067
166,10:00:00 PM,18.867
167,11:00:00 PM,23.867
168,12:00:00 AM,25.05
169,1:00:00 AM,24.5
170,2:00:00 AM,23.567
171,3:00:00 AM,22.8
172,4:00:00 AM,22.3
173,5:00:00 AM,21.867
174,6:00:00 AM,21.5
175,7:00:00 AM,21.3
176,8:00:00 AM,21.5
177,9:00:00 AM,21.967
178,10:00:00 AM,22.767
179,11:00:00 AM,23.35
180,12:00:00 PM,23.667
181,1:00:00 PM,23.833
182,2:00:00 PM,24.133
183,3:00:00 PM,24.3
184,4:00:00 PM,24.2
185,5:00:00 PM,23.9
186,6:00:00 PM,23.4
187,7:00:00 PM,22.95
188,8:00:00 PM,22.433
189,9:00:00 PM,22.033
190,10:00:00 PM,21.75
191,11:00:00 PM,21.433
192,12:00:00 AM,21.25
193,1:00:00 AM,21.075
194,2:00:00 AM,20.833
195,3:00:00 AM,20.7
196,4:00:00 AM,20.55
197,5:00:00 AM,20.267
198,6:00:00 AM,21.767
199,7:00:00 AM,24.767
200,8:00:00 AM,24.067
201,9:00:00 AM,23.4
202,10:00:00 AM,23.333
203,11:00:00 AM,23.7
204,12:00:00 PM,24.2
205,1:00:00 PM,24.8
206,2:00:00 PM,25.467
207,3:00:00 PM,25.7
208,4:00:00 PM,25.4
209,5:00:00 PM,24.35
210,6:00:00 PM,23.3
211,7:00:00 PM,22.3
212,8:00:00 PM,21.55
213,9:00:00 PM,20.933
214,10:00:00 PM,20.3
215,11:00:00 PM,19.933
216,12:00:00 AM,19.55
217,1:00:00 AM,19.167
218,2:00:00 AM,18.733
219,3:00:00 AM,18.233
220,4:00:00 AM,17.733
221,5:00:00 AM,17.35
222,6:00:00 AM,17.733
223,7:00:00 AM,21.633
224,8:00:00 AM,21.467
225,9:00:00 AM,20.867
226,10:00:00 AM,20.85
227,11:00:00 AM,21.233
228,12:00:00 PM,21.775
229,1:00:00 PM,22.667
230,2:00:00 PM,23.533
231,3:00:00 PM,24
232,4:00:00 PM,23.867
233,5:00:00 PM,23.35
234,6:00:00 PM,22.6
235,7:00:00 PM,21.9
236,8:00:00 PM,21.233
237,9:00:00 PM,21.533
238,10:00:00 PM,22.4
239,11:00:00 PM,26.05
240,12:00:00 AM,25.1
241,1:00:00 AM,23.3
242,2:00:00 AM,21.8
243,3:00:00 AM,20.733
244,4:00:00 AM,19.9
245,5:00:00 AM,19.3
246,6:00:00 AM,19.667
247,7:00:00 AM,20.667
248,8:00:00 AM,21.433
249,9:00:00 AM,22.533
250,10:00:00 AM,18.233
251,11:00:00 AM,17.9
252,12:00:00 PM,12.5
253,1:00:00 PM,9.65
254,2:00:00 PM,17.3
255,3:00:00 PM,25.75
256,4:00:00 PM,26.733
257,5:00:00 PM,25.467
258,6:00:00 PM,24.067
259,7:00:00 PM,23.067
260,8:00:00 PM,22.3
261,9:00:00 PM,21.533
262,10:00:00 PM,23.033
263,11:00:00 PM,26.15
264,12:00:00 AM,24.833
265,1:00:00 AM,23.3
266,2:00:00 AM,22.033
267,3:00:00 AM,20.833
268,4:00:00 AM,19.9
269,5:00:00 AM,19.2
270,6:00:00 AM,18.9
271,7:00:00 AM,20.55
272,8:00:00 AM,21.2
273,9:00:00 AM,21.767
274,10:00:00 AM,22.9
275,11:00:00 AM,13.933
276,12:00:00 PM,21.4
277,1:00:00 PM,14.133
278,2:00:00 PM,18.1
279,3:00:00 PM,18.433
280,4:00:00 PM,13.45
281,5:00:00 PM,23.4
282,6:00:00 PM,23.067
283,7:00:00 PM,23.867
284,8:00:00 PM,22.4
285,9:00:00 PM,22.167
286,10:00:00 PM,21.95
287,11:00:00 PM,26.3
288,12:00:00 AM,25.267
289,1:00:00 AM,23.433
290,2:00:00 AM,21.933
291,3:00:00 AM,20.8
292,4:00:00 AM,20.05
293,5:00:00 AM,19.533
294,6:00:00 AM,19.167
295,7:00:00 AM,20.3
296,8:00:00 AM,21.9
297,9:00:00 AM,22.5
298,10:00:00 AM,16.467
299,11:00:00 AM,23.4
300,12:00:00 PM,17.133
301,1:00:00 PM,11.933
302,2:00:00 PM,10.2
303,3:00:00 PM,12.6
304,4:00:00 PM,17.4
305,5:00:00 PM,16.033
306,6:00:00 PM,15.667
307,7:00:00 PM,23.15
308,8:00:00 PM,15.8
309,9:00:00 PM,15.8
310,10:00:00 PM,22.733
311,11:00:00 PM,26.167
312,12:00:00 AM,24.633
313,1:00:00 AM,23.35
314,2:00:00 AM,22.333
315,3:00:00 AM,21.5
316,4:00:00 AM,20.967
317,5:00:00 AM,20.5
318,6:00:00 AM,20.233
319,7:00:00 AM,23.5
320,8:00:00 AM,22.9
321,9:00:00 AM,22.1
322,10:00:00 AM,22.1
323,11:00:00 AM,22.633
324,12:00:00 PM,23.35
325,1:00:00 PM,24.033
326,2:00:00 PM,24.667
327,3:00:00 PM,24.9
328,4:00:00 PM,24.8
329,5:00:00 PM,24.367
330,6:00:00 PM,23.8
331,7:00:00 PM,23.2
332,8:00:00 PM,22.667
333,9:00:00 PM,22.25
334,10:00:00 PM,22.033
335,11:00:00 PM,21.867
336,12:00:00 AM,21.467
337,1:00:00 AM,21.15
338,2:00:00 AM,20.8
339,3:00:00 AM,20.367
340,4:00:00 AM,19.967
341,5:00:00 AM,19.65
342,6:00:00 AM,19.5
343,7:00:00 AM,19.267
344,8:00:00 AM,19.3
345,9:00:00 AM,19.8
346,10:00:00 AM,20.45
347,11:00:00 AM,21.3
348,12:00:00 PM,22.175
349,1:00:00 PM,23
350,2:00:00 PM,23.867
351,3:00:00 PM,24.367
352,4:00:00 PM,24.35
353,5:00:00 PM,24
354,6:00:00 PM,23.3
355,7:00:00 PM,22.55
356,8:00:00 PM,21.933
357,9:00:00 PM,21.3
358,10:00:00 PM,20.733
359,11:00:00 PM,20.2
360,12:00:00 AM,19.667
361,1:00:00 AM,19.35
362,2:00:00 AM,19.1
363,3:00:00 AM,18.8
364,4:00:00 AM,18.5
365,5:00:00 AM,18.4
366,6:00:00 AM,19.6
367,7:00:00 AM,22.667
368,8:00:00 AM,25.067
369,9:00:00 AM,23.467
370,10:00:00 AM,22.533
371,11:00:00 AM,22.5
372,12:00:00 PM,22.85
373,1:00:00 PM,23.333
374,2:00:00 PM,23.8
375,3:00:00 PM,23.9
376,4:00:00 PM,23.75
377,5:00:00 PM,23.3
378,6:00:00 PM,22.7
379,7:00:00 PM,22.167
380,8:00:00 PM,21.75
381,9:00:00 PM,21.333
382,10:00:00 PM,21
383,11:00:00 PM,20.9
384,12:00:00 AM,20.633
385,1:00:00 AM,20.3
386,2:00:00 AM,20
387,3:00:00 AM,19.75
388,4:00:00 AM,19.467
389,5:00:00 AM,19.233
390,6:00:00 AM,20.333
391,7:00:00 AM,18.6
392,8:00:00 AM,15.6
393,9:00:00 AM,15.3
394,10:00:00 AM,12.1
395,11:00:00 AM,9.6
396,12:00:00 PM,10.4
397,1:00:00 PM,10.233
398,2:00:00 PM,10
399,3:00:00 PM,10.033
400,4:00:00 PM,10.267
401,5:00:00 PM,9.933
402,6:00:00 PM,9.233
403,7:00:00 PM,13.633
404,8:00:00 PM,24.533
405,9:00:00 PM,23.667
406,10:00:00 PM,22.433
407,11:00:00 PM,21.9
408,12:00:00 AM,21.6
409,1:00:00 AM,21.233
410,2:00:00 AM,20.833
411,3:00:00 AM,20.45
412,4:00:00 AM,20.133
413,5:00:00 AM,19.733
414,6:00:00 AM,20.033
415,7:00:00 AM,16.633
416,8:00:00 AM,20.25
417,9:00:00 AM,10.85
418,10:00:00 AM,13.1
419,11:00:00 AM,9.267
420,12:00:00 PM,9.833
421,1:00:00 PM,10
422,2:00:00 PM,9.967
423,3:00:00 PM,9.8
424,4:00:00 PM,8.7
425,5:00:00 PM,12.133
426,6:00:00 PM,11.3
427,7:00:00 PM,11.4
428,8:00:00 PM,13.967
429,9:00:00 PM,12.933
430,10:00:00 PM,10.6
431,11:00:00 PM,24.033
432,12:00:00 AM,24.5
433,1:00:00 AM,23.55
434,2:00:00 AM,22.6
435,3:00:00 AM,21.667
436,4:00:00 AM,20.85
437,5:00:00 AM,20.25
438,6:00:00 AM,20.3
439,7:00:00 AM,16.15
440,8:00:00 AM,11.633
441,9:00:00 AM,11.2
442,10:00:00 AM,12.25
443,11:00:00 AM,8.667
444,12:00:00 PM,8.533
445,1:00:00 PM,10.933
446,2:00:00 PM,9.1
447,3:00:00 PM,10
448,4:00:00 PM,23.075
449,5:00:00 PM,25.033
450,6:00:00 PM,24.433
451,7:00:00 PM,23.933
452,8:00:00 PM,23.15
453,9:00:00 PM,22.6
454,10:00:00 PM,22.167
455,11:00:00 PM,22.033
456,12:00:00 AM,22.067
457,1:00:00 AM,21.967
458,2:00:00 AM,21.65
459,3:00:00 AM,21.333
460,4:00:00 AM,20.833
461,5:00:00 AM,20.5
462,6:00:00 AM,17.7
463,7:00:00 AM,16.45
464,8:00:00 AM,13.133
465,9:00:00 AM,11.633
466,10:00:00 AM,7.067
467,11:00:00 AM,7.4
468,12:00:00 PM,7.8
469,1:00:00 PM,8.167
470,2:00:00 PM,8.567
471,3:00:00 PM,8.2
472,4:00:00 PM,7.7
473,5:00:00 PM,11.767
474,6:00:00 PM,12.3
475,7:00:00 PM,12.3
476,8:00:00 PM,13.2
477,9:00:00 PM,13.167
478,10:00:00 PM,15
479,11:00:00 PM,24.6
480,12:00:00 AM,25.9
481,1:00:00 AM,24.6
482,2:00:00 AM,23.2
483,3:00:00 AM,22.1
484,4:00:00 AM,21.45
485,5:00:00 AM,20.933
486,6:00:00 AM,20.867
487,7:00:00 AM,14.833
488,8:00:00 AM,9.25
489,9:00:00 AM,11.3
490,10:00:00 AM,9.067
491,11:00:00 AM,8.267
