,Datetime1,DAYTON_MW,Datetime
0,12:00:00 AM,20.867,1/4/2022
1,12:00:00 AM,21,1/4/2022
2,12:00:00 AM,20.867,1/4/2022
3,12:00:00 AM,20.65,1/4/2022
4,12:00:00 AM,20.4,1/4/2022
5,12:00:00 AM,20.1,1/4/2022
6,12:00:00 AM,19.8,1/4/2022
7,12:00:00 AM,19.5,1/4/2022
8,12:00:00 AM,19.4,1/4/2022
9,12:00:00 AM,19.5,1/4/2022
10,12:00:00 AM,19.933,1/4/2022
11,12:00:00 AM,20.75,1/4/2022
12,12:00:00 AM,21.833,1/4/2022
13,12:00:00 AM,22.75,1/4/2022
14,12:00:00 AM,23.7,1/4/2022
15,12:00:00 AM,24.6,1/4/2022
16,12:00:00 AM,25.1,1/4/2022
17,12:00:00 AM,12.1,1/4/2022
18,12:00:00 AM,19.667,1/4/2022
19,12:00:00 AM,23.133,1/4/2022
20,12:00:00 AM,23.1,1/4/2022
21,12:00:00 AM,22.7,1/4/2022
22,12:00:00 AM,22.3,1/4/2022
23,12:00:00 AM,21.8,1/4/2022
24,12:00:00 AM,21.333,1/5/2022
25,12:00:00 AM,20.933,1/5/2022
26,12:00:00 AM,20.567,1/5/2022
27,12:00:00 AM,20.25,1/5/2022
28,12:00:00 AM,20.1,1/5/2022
29,12:00:00 AM,15.667,1/5/2022
30,12:00:00 AM,19.167,1/5/2022
31,12:00:00 AM,14.1,1/5/2022
32,12:00:00 AM,14.05,1/5/2022
33,12:00:00 AM,13.467,1/5/2022
34,12:00:00 AM,11.4,1/5/2022
35,12:00:00 AM,9.9,1/5/2022
36,12:00:00 AM,9.833,1/5/2022
37,12:00:00 AM,10,1/5/2022
38,12:00:00 AM,13.033,1/5/2022
39,12:00:00 AM,9.333,1/5/2022
40,12:00:00 AM,12.7,1/5/2022
41,12:00:00 AM,12.733,1/5/2022
42,12:00:00 AM,15.733,1/5/2022
43,12:00:00 AM,16.033,1/5/2022
44,12:00:00 AM,16.033,1/5/2022
45,12:00:00 AM,16.1,1/5/2022
46,12:00:00 AM,12.95,1/5/2022
47,12:00:00 AM,23.6,1/5/2022
48,12:00:00 AM,26.5,1/6/2022
49,12:00:00 AM,25.5,1/6/2022
50,12:00:00 AM,24.5,1/6/2022
51,12:00:00 AM,23.633,1/6/2022
52,12:00:00 AM,23.1,1/6/2022
53,12:00:00 AM,22.6,1/6/2022
54,12:00:00 AM,14.9,1/6/2022
55,12:00:00 AM,14.133,1/6/2022
56,12:00:00 AM,22.7,1/6/2022
57,12:00:00 AM,23.533,1/6/2022
58,12:00:00 AM,23.75,1/6/2022
59,12:00:00 AM,24.2,1/6/2022
60,12:00:00 AM,24.867,1/6/2022
61,12:00:00 AM,25.5,1/6/2022
62,12:00:00 AM,26,1/6/2022
63,12:00:00 AM,26.267,1/6/2022
64,12:00:00 AM,9.633,1/6/2022
65,12:00:00 AM,9.267,1/6/2022
66,12:00:00 AM,8.85,1/6/2022
67,12:00:00 AM,15.6,1/6/2022
68,12:00:00 AM,12.267,1/6/2022
69,12:00:00 AM,9.067,1/6/2022
70,12:00:00 AM,12.467,1/6/2022
71,12:00:00 AM,21.35,1/6/2022
72,12:00:00 AM,23.967,1/7/2022
73,12:00:00 AM,24.4,1/7/2022
74,12:00:00 AM,23.9,1/7/2022
75,12:00:00 AM,23.3,1/7/2022
76,12:00:00 AM,22.8,1/7/2022
77,12:00:00 AM,20.8,1/7/2022
78,12:00:00 AM,14.967,1/7/2022
79,12:00:00 AM,11.7,1/7/2022
80,12:00:00 AM,15.6,1/7/2022
81,12:00:00 AM,8.4,1/7/2022
82,12:00:00 AM,9.067,1/7/2022
83,12:00:00 AM,9.967,1/7/2022
84,12:00:00 AM,9.8,1/7/2022
85,12:00:00 AM,9.833,1/7/2022
86,12:00:00 AM,12.433,1/7/2022
87,12:00:00 AM,9.767,1/7/2022
88,12:00:00 AM,9.567,1/7/2022
89,12:00:00 AM,9.1,1/7/2022
90,12:00:00 AM,11.7,1/7/2022
91,12:00:00 AM,25.333,1/7/2022
92,12:00:00 AM,8.167,1/7/2022
93,12:00:00 AM,16.167,1/7/2022
94,12:00:00 AM,16.133,1/7/2022
95,12:00:00 AM,26.2,1/7/2022
96,12:00:00 AM,26.75,1/8/2022
97,12:00:00 AM,25.867,1/8/2022
98,12:00:00 AM,24.767,1/8/2022
99,12:00:00 AM,23.95,1/8/2022
100,12:00:00 AM,23.333,1/8/2022
101,12:00:00 AM,22.7,1/8/2022
102,12:00:00 AM,11.8,1/8/2022
103,12:00:00 AM,15.4,1/8/2022
104,12:00:00 AM,7.45,1/8/2022
105,12:00:00 AM,12.167,1/8/2022
106,12:00:00 AM,9.2,1/8/2022
107,12:00:00 AM,9.8,1/8/2022
108,12:00:00 AM,10.067,1/8/2022
109,12:00:00 AM,10.1,1/8/2022
110,12:00:00 AM,10.35,1/8/2022
111,12:00:00 AM,14.567,1/8/2022
112,12:00:00 AM,9.1,1/8/2022
113,12:00:00 AM,8.133,1/8/2022
114,12:00:00 AM,20.55,1/8/2022
115,12:00:00 AM,19.167,1/8/2022
116,12:00:00 AM,18.1,1/8/2022
117,12:00:00 AM,11,1/8/2022
118,12:00:00 AM,13.233,1/8/2022
119,12:00:00 AM,21.167,1/8/2022
120,12:00:00 AM,23.5,1/9/2022
121,12:00:00 AM,23.7,1/9/2022
122,12:00:00 AM,23.267,1/9/2022
123,12:00:00 AM,22.8,1/9/2022
124,12:00:00 AM,22.333,1/9/2022
125,12:00:00 AM,22,1/9/2022
126,12:00:00 AM,16.533,1/9/2022
127,12:00:00 AM,14.333,1/9/2022
128,12:00:00 AM,12.2,1/9/2022
129,12:00:00 AM,8.767,1/9/2022
130,12:00:00 AM,9.4,1/9/2022
131,12:00:00 AM,9.633,1/9/2022
132,12:00:00 AM,9.9,1/9/2022
133,12:00:00 AM,9.5,1/9/2022
134,12:00:00 AM,12.8,1/9/2022
135,12:00:00 AM,9.833,1/9/2022
136,12:00:00 AM,9.1,1/9/2022
137,12:00:00 AM,13.067,1/9/2022
138,12:00:00 AM,16.5,1/9/2022
139,12:00:00 AM,25.033,1/9/2022
140,12:00:00 AM,23.5,1/9/2022
141,12:00:00 AM,8.325,1/9/2022
142,12:00:00 AM,14.2,1/9/2022
143,12:00:00 AM,25.7,1/9/2022
144,12:00:00 AM,26.767,1/10/2022
145,12:00:00 AM,25.367,1/10/2022
146,12:00:00 AM,24.1,1/10/2022
147,12:00:00 AM,23.2,1/10/2022
148,12:00:00 AM,22.533,1/10/2022
149,12:00:00 AM,21.933,1/10/2022
150,12:00:00 AM,21.85,1/10/2022
151,12:00:00 AM,22.9,1/10/2022
152,12:00:00 AM,18.2,1/10/2022
153,12:00:00 AM,12.75,1/10/2022
154,12:00:00 AM,12.575,1/10/2022
155,12:00:00 AM,17.8,1/10/2022
156,12:00:00 AM,9.867,1/10/2022
157,12:00:00 AM,10.333,1/10/2022
158,12:00:00 AM,19.5,1/10/2022
159,12:00:00 AM,13,1/10/2022
160,12:00:00 AM,14.267,1/10/2022
161,12:00:00 AM,17.633,1/10/2022
162,12:00:00 AM,21.367,1/10/2022
163,12:00:00 AM,22.85,1/10/2022
164,12:00:00 AM,18.467,1/10/2022
165,12:00:00 AM,14.067,1/10/2022
166,12:00:00 AM,18.867,1/10/2022
167,12:00:00 AM,23.867,1/10/2022
168,12:00:00 AM,25.05,1/11/2022
169,12:00:00 AM,24.5,1/11/2022
170,12:00:00 AM,23.567,1/11/2022
171,12:00:00 AM,22.8,1/11/2022
172,12:00:00 AM,22.3,1/11/2022
173,12:00:00 AM,21.867,1/11/2022
174,12:00:00 AM,21.5,1/11/2022
175,12:00:00 AM,21.3,1/11/2022
176,12:00:00 AM,21.5,1/11/2022
177,12:00:00 AM,21.967,1/11/2022
178,12:00:00 AM,22.767,1/11/2022
179,12:00:00 AM,23.35,1/11/2022
180,12:00:00 AM,23.667,1/11/2022
181,12:00:00 AM,23.833,1/11/2022
182,12:00:00 AM,24.133,1/11/2022
183,12:00:00 AM,24.3,1/11/2022
184,12:00:00 AM,24.2,1/11/2022
185,12:00:00 AM,23.9,1/11/2022
186,12:00:00 AM,23.4,1/11/2022
187,12:00:00 AM,22.95,1/11/2022
188,12:00:00 AM,22.433,1/11/2022
189,12:00:00 AM,22.033,1/11/2022
190,12:00:00 AM,21.75,1/11/2022
191,12:00:00 AM,21.433,1/11/2022
192,12:00:00 AM,21.25,1/12/2022
193,12:00:00 AM,21.075,1/12/2022
194,12:00:00 AM,20.833,1/12/2022
195,12:00:00 AM,20.7,1/12/2022
196,12:00:00 AM,20.55,1/12/2022
197,12:00:00 AM,20.267,1/12/2022
198,12:00:00 AM,21.767,1/12/2022
199,12:00:00 AM,24.767,1/12/2022
200,12:00:00 AM,24.067,1/12/2022
201,12:00:00 AM,23.4,1/12/2022
202,12:00:00 AM,23.333,1/12/2022
203,12:00:00 AM,23.7,1/12/2022
204,12:00:00 AM,24.2,1/12/2022
205,12:00:00 AM,24.8,1/12/2022
206,12:00:00 AM,25.467,1/12/2022
207,12:00:00 AM,25.7,1/12/2022
208,12:00:00 AM,25.4,1/12/2022
209,12:00:00 AM,24.35,1/12/2022
210,12:00:00 AM,23.3,1/12/2022
211,12:00:00 AM,22.3,1/12/2022
212,12:00:00 AM,21.55,1/12/2022
213,12:00:00 AM,20.933,1/12/2022
214,12:00:00 AM,20.3,1/12/2022
215,12:00:00 AM,19.933,1/12/2022
216,12:00:00 AM,19.55,1/13/2022
217,12:00:00 AM,19.167,1/13/2022
218,12:00:00 AM,18.733,1/13/2022
219,12:00:00 AM,18.233,1/13/2022
220,12:00:00 AM,17.733,1/13/2022
221,12:00:00 AM,17.35,1/13/2022
222,12:00:00 AM,17.733,1/13/2022
223,12:00:00 AM,21.633,1/13/2022
224,12:00:00 AM,21.467,1/13/2022
225,12:00:00 AM,20.867,1/13/2022
226,12:00:00 AM,20.85,1/13/2022
227,12:00:00 AM,21.233,1/13/2022
228,12:00:00 AM,21.775,1/13/2022
229,12:00:00 AM,22.667,1/13/2022
230,12:00:00 AM,23.533,1/13/2022
231,12:00:00 AM,24,1/13/2022
232,12:00:00 AM,23.867,1/13/2022
